"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Gender_Schools_Model.nlogox"
"GenderSegregationExperiment"
"06/10/2026 12:20:34:195 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","kappa","delta","[step]","(total-female-all / (total-male-all + total-female-all)) * 100"
"552","-0.5","1.3","39","52"
"553","-0.5","1.3","39","54.666666666666664"
"554","-0.5","1.3","39","52"
"555","-0.5","1.3","39","50.66666666666667"
"556","-0.5","1.3","39","49.333333333333336"
"557","-0.5","1.3","39","50.66666666666667"
"558","-0.5","1.3","39","57.333333333333336"
"559","-0.5","1.3","39","52.666666666666664"
"560","-0.5","1.3","39","52.666666666666664"
"561","0","0.7","39","23.333333333333332"
"562","0","0.7","39","26"
"563","0","0.7","39","25.333333333333336"
"564","0","0.7","39","26.666666666666668"
"565","0","0.7","39","27.333333333333332"
"566","0","0.7","39","24"
"567","0","0.7","39","24.666666666666668"
"568","0","0.7","39","25.333333333333336"
"569","0","0.7","39","28.000000000000004"
"570","0","0.7","39","26"
"571","0","0.7","39","26.666666666666668"
"572","0","0.7","39","25.333333333333336"
"573","0","0.7","39","25.333333333333336"
"574","0","0.7","39","25.333333333333336"
"575","0","0.7","39","25.333333333333336"
"576","0","0.7","39","24"
"577","0","0.7","39","28.000000000000004"
"578","0","0.7","39","26"
"579","0","0.7","39","28.000000000000004"
"580","0","0.7","39","24.666666666666668"
"581","0","0.8","39","28.666666666666668"
"582","0","0.8","39","30"
"583","0","0.8","39","32"
"584","0","0.8","39","31.333333333333336"
"585","0","0.8","39","34"
"586","0","0.8","39","30.666666666666664"
"587","0","0.8","39","29.333333333333332"
"588","0","0.8","39","31.333333333333336"
"590","0","0.8","39","28.000000000000004"
"589","0","0.8","39","29.333333333333332"
"591","0","0.8","39","32"
"592","0","0.8","39","32.666666666666664"
"593","0","0.8","39","30.666666666666664"
"595","0","0.8","39","33.33333333333333"
"594","0","0.8","39","33.33333333333333"
"596","0","0.8","39","31.333333333333336"
"597","0","0.8","39","28.666666666666668"
"598","0","0.8","39","29.333333333333332"
"599","0","0.8","39","28.666666666666668"
"600","0","0.8","39","30.666666666666664"
"601","0","0.9","39","34.66666666666667"
"602","0","0.9","39","35.333333333333336"
"603","0","0.9","39","34.66666666666667"
"604","0","0.9","39","37.333333333333336"
"605","0","0.9","39","31.333333333333336"
"606","0","0.9","39","35.333333333333336"
"607","0","0.9","39","34.66666666666667"
"608","0","0.9","39","36.666666666666664"
"609","0","0.9","39","36.666666666666664"
"610","0","0.9","39","34.66666666666667"
"612","0","0.9","39","37.333333333333336"
"611","0","0.9","39","32.666666666666664"
"613","0","0.9","39","34"
"614","0","0.9","39","35.333333333333336"
"615","0","0.9","39","31.333333333333336"
"616","0","0.9","39","33.33333333333333"
"617","0","0.9","39","36.666666666666664"
"618","0","0.9","39","34.66666666666667"
"619","0","0.9","39","33.33333333333333"
"620","0","0.9","39","34.66666666666667"
"621","0","1","39","48.66666666666667"
"622","0","1","39","48"
"623","0","1","39","44"
"624","0","1","39","46"
"625","0","1","39","48"
"626","0","1","39","46"
"627","0","1","39","44.666666666666664"
"629","0","1","39","45.33333333333333"
"628","0","1","39","46.666666666666664"
"630","0","1","39","43.333333333333336"
"631","0","1","39","48"
"632","0","1","39","45.33333333333333"
"633","0","1","39","45.33333333333333"
"634","0","1","39","42.66666666666667"
"635","0","1","39","45.33333333333333"
"636","0","1","39","46.666666666666664"
"637","0","1","39","45.33333333333333"
"638","0","1","39","44.666666666666664"
"639","0","1","39","48.66666666666667"
"640","0","1","39","48"
"641","0","1.1","39","44.666666666666664"
"642","0","1.1","39","43.333333333333336"
"643","0","1.1","39","48.66666666666667"
"644","0","1.1","39","48.66666666666667"
"645","0","1.1","39","45.33333333333333"
"646","0","1.1","39","48.66666666666667"
"647","0","1.1","39","48"
"648","0","1.1","39","42.66666666666667"
"650","0","1.1","39","46.666666666666664"
"649","0","1.1","39","44.666666666666664"
"651","0","1.1","39","46.666666666666664"
"652","0","1.1","39","47.333333333333336"
"653","0","1.1","39","44"
"655","0","1.1","39","50"
"654","0","1.1","39","46.666666666666664"
"656","0","1.1","39","45.33333333333333"
"657","0","1.1","39","48"
"658","0","1.1","39","47.333333333333336"
"659","0","1.1","39","46.666666666666664"
"660","0","1.1","39","47.333333333333336"
"661","0","1.2","39","52.666666666666664"
"662","0","1.2","39","50.66666666666667"
"663","0","1.2","39","48.66666666666667"
"664","0","1.2","39","50.66666666666667"
"665","0","1.2","39","48.66666666666667"
"666","0","1.2","39","50"
"667","0","1.2","39","48"
"668","0","1.2","39","49.333333333333336"
"669","0","1.2","39","49.333333333333336"
